Category1;Value1;Value2
D;5.180544788848954;9.585228524552429
A;11.737511942649755;26.226371165151363
B;7.880378942963249;24.034092049796502
B;9.005070888001708;17.51247630231327
A;10.192704843538445;20.275167250118898
A;9.652176515652958;14.657793088427741
A;10.550451752382278;22.985041617669992
B;9.680926592555661;19.65704053936231
B;10.261461581287382;26.104206040682065
B;7.841463006527878;14.49202473246081
E;11.27321882119218;22.069310297023588
D;8.349179512503;20.01616045341388
B;7.466116774104777;18.140617853213055
A;9.322205316883615;10.139840575135606
B;7.601981520608672;24.569814793933293
D;3.971560976275679;18.244638033613633
B;12.85181897531411;25.929715067632145
E;8.166696622006778;13.641579761820617
B;9.525930247543565;10.860101722952807
A;13.647203617684962;3.5112874804293455
C;7.61522019735342;24.13838486679959
C;9.381692374651305;15.59583877995312
B;10.514665573036877;25.391710672112648
B;11.676926831037939;11.180075763855841
C;7.404786947688396;25.231992019038977
B;7.195003865762108;19.115224405509203
C;11.672735213026607;14.936427829792223
B;10.023404709158502;15.34201568374934
A;7.409142707155651;26.581615723166628
E;6.8679841142454165;17.568203618990236
A;11.4728957230856;7.5681482476354365
B;12.215646616567525;24.648742220626477
A;9.444005717012592;24.17676206644368
B;9.400941091349381;31.592855605269236
B;8.79561429505946;25.201636460547068
B;4.883865491039606;35.23308516809229
C;12.201525859552795;24.695685687060475
B;9.821774335721948;11.96535541284282
D;12.096901092624112;14.651371151702232
B;8.583098913089188;22.082050761892166
B;9.147730404671794;10.706721990421789
B;9.627324070176824;24.225808151778846
A;9.651803316655421;22.393012695168483
A;9.072731203490557;24.955582590128884
A;12.25189235551247;23.74475167700595
A;12.20095777250252;23.348604226598486
A;11.824676320842665;26.06620274501046
B;8.813112584850966;21.020211288488237
B;9.559328328266126;20.635984688791904
C;7.9136593622324725;11.179297081558248
D;14.63681604071531;18.159618094747778
B;8.935544819632801;28.03597467406778
C;10.234965563877788;14.873327491667776
B;8.167671454947255;9.836418224885112
A;10.910580454857467;22.113280694551342
A;11.48508511200281;14.651867560460827
